City,ARIMA_RMSE,LSTM_Residual_RMSE,Hybrid_RMSE
"Öskemen, Kazakhstan",16.568557375626792,3.4982046416801515,5.760182430628789
"Abakan, Russia",18.110012012601484,3.6169292645933666,6.963676416493654
"Acheng, China",21.20974754804359,2.6224299198815557,7.529028558257677
"Achinsk, Russia",23.63122123907625,3.515870850026516,12.382144554408828
"Akashi, Japan",11.594362122700067,1.1746170640492046,16.143040426530522
"Akita, Japan",10.974512122687466,1.452461248854439,12.335582904394004
"Algeciras, Spain",4.051767338324377,1.1411197109134381,18.083435540396927
"Algiers, Algeria",6.413654664761607,1.8208251358160517,16.88609255621417
"Almería, Spain",3.8861341696776504,1.254396540026355,18.464451567398623
"Amadora, Portugal",4.614921395192267,1.344663838717712,16.238102378039944
"Anaheim, United States",2.922078632992142,1.4923678728706224,16.601107751657484
"Anda, China",21.55036058617151,2.0434512836426153,8.7607726710236
"Andijon, Uzbekistan",9.136712534946591,2.418315550500065,11.0068232851076
"Angarsk, Russia",21.82327217911107,2.616244550000565,11.018426204428545
"Angren, Uzbekistan",8.622312867193143,1.9718891411145398,11.952098773580893
"Anqing, China",13.047060926008337,1.7782629137184214,16.75024622608789
"Anqiu, China",14.372668341342616,1.2503320579199932,14.621445508963205
"Anshun, China",8.453086708143434,1.527708399220787,14.91224511826014
"Antalya, Turkey",9.6273147668464,1.4672190893581676,14.406086327246843
"Antioch, United States",4.410762440703148,1.2808269663437446,16.144486145898004
"Antofagasta, Chile",2.216880779530366,0.7176465163220282,16.549018378074685
"Arica, Chile",1.8738172803796276,0.7474175159945768,19.315147410331488
"Asahikawa, Japan",10.87672966359684,1.5502014976412366,7.975225054721876
"Athens, Greece",5.124679769443722,1.3480578740180689,18.79753526559601
"Auckland, New Zealand",1.4078017858484237,0.7876436871742343,16.987942542662587
"Bahia Blanca, Argentina",7.947610538750342,1.1190287492476603,15.947510475445606
"Baicheng, China",21.829737665203208,2.4680249676758015,9.18253398431364
"Bakersfield, United States",7.345217523093793,1.5919270071114529,17.86872169679802
"Baoshan, China",18.337112724706444,2.0305715787141163,7.691666951753736
"Barnaul, Russia",17.14510305559273,3.458737689213764,5.899445625275411
"Bayamo, Cuba",1.060536800191437,0.7397730498568021,26.650592461026815
"Beaumont, United States",7.739446033569708,1.5071023485235775,21.08615917638047
"Beian, China",22.39617378898069,2.5246672232046543,8.391945578776118
"Beihai, China",6.133379014386155,1.346722842538172,23.08161858492264
"Bene Beraq, Israel",5.726454496808008,1.5574902227188467,18.644730460685615
"Bengbu, China",13.665608671691862,1.3799328877339543,17.06843057927668
"Beppu, Japan",11.459933405824662,1.322107800515659,15.911095176029747
"Berkeley, United States",4.410762440703148,1.2846098354854067,15.363814857513088
"Binzhou, China",13.056740478251216,1.5694611333752169,14.371409488946234
"Biysk, Russia",16.38441588522596,3.31859145558591,5.6603003264244975
"Blagoveshchensk, Russia",21.736129059309054,2.4152436399389234,7.269151485530318
"Boshan, China",15.814530441514293,2.3705203826229377,13.741659951622658
"Bozhou, China",13.67311065933108,1.689275978809715,16.66595174042158
"Bratsk, Russia",19.074142234854957,3.374251833937734,8.356941900692767
"Burbank, United States",5.912923250152131,1.9650261929823685,16.393417400770872
"Córdoba, Mexico",2.6900477337701107,0.8942852657432818,23.86136854985802
"Córdoba, Spain",6.2123053225805585,1.4287510037008662,17.636382357610028
"Cadiz, Spain",4.051767338324377,1.4831891205478565,17.4497859949466
"Calama, Chile",3.7839501514040386,0.7563208735088589,14.515846892502315
"Cam Pha, Vietnam",5.834728917429115,1.373164497323473,22.598563251197533
"Camagüey, Cuba",1.663471571176459,0.7955580704331774,25.868093292446684
"Cancún, Mexico",1.657199073825753,0.7490547240773022,25.048903234021854
"Carrollton, United States",10.326099492389549,1.837707500649737,19.347550439267724
"Catamarca, Argentina",7.992585615039722,1.6172046473352122,18.61023367515725
"Chalco, Mexico",2.494907614257499,1.2725560046253532,16.03801778227862
"Changzhou, China",12.474685607356642,1.4622199852384794,17.27922710488748
"Chaohu, China",12.863203997214583,1.4012162230740948,17.338950551300503
"Chihuahua, Mexico",6.927899743073415,1.399260026116068,18.431124895685404
"Chillan, Chile",7.0438776727666585,0.8324691363053851,12.129466045231739
"Chimalhuacán, Mexico",2.494907614257499,0.9626839101174117,16.642940143909307
"Chita, Russia",23.354755734752832,2.4177563307492322,10.856583776388378
"Chizhou, China",13.047060926008337,1.4108624229073983,17.36221449400291
"Christchurch, New Zealand",1.6147562630909984,0.9421949179173534,11.582496501330896
"Chula Vista, United States",2.922078632992142,1.3597605496798535,16.82780314912791
"Chuncheng, China",5.494064711155066,1.234005905874675,23.828299140300633
"Chuzhou, China",13.665608671691862,2.0203671602998337,16.189683065693735
"Ciego De Ávila, Cuba",1.663471571176459,0.8499341097569276,25.77475785468029
"Cienfuegos, Cuba",1.5952871722140136,0.8418649181596637,26.029288251317777
"Ciudad Valles, Mexico",4.104743283867766,1.1237008516166052,21.830089403494842
"Coacalco, Mexico",2.494907614257499,1.0807079831783934,16.366488245753676
"Cochabamba, Bolivia",2.089422098570631,0.8899807272716268,15.755822750756133
"Comodoro Rivadavia, Argentina",8.106996620132827,1.7799927881311997,11.259676059698636
"Concepcion, Chile",3.3513091232803314,0.7156121599297898,13.628862412002519
"Concord, United States",4.410762440703148,1.2407564053314568,15.446150498443451
"Constantine, Algeria",6.120648347758115,1.572012123961953,15.734363288193038
"Copiapo, Chile",4.895768109995798,0.8873372664141012,10.734315904267332
"Coquimbo, Chile",1.3264554900616878,0.748190711710014,14.91995104745147
"Cordoba, Argentina",6.83313622360647,1.443506123536229,16.915019916772575
"Corona, United States",2.922078632992142,1.1850956551970981,17.466047522138986
"Costa Mesa, United States",2.922078632992142,1.373626517114705,16.795165443307653
"Cuautitlán Izcalli, Mexico",2.494907614257499,0.996580893562253,16.51219408187579
"Curico, Chile",4.009847502416101,0.7165309165322504,13.93422984466643
"Daliang, China",6.97327117013625,1.3540664196526428,22.023597192764157
"Dallas, United States",10.326099492389549,1.9341159716738783,19.07095802789594
"Damascus, Syria",5.726454496808008,1.6671113264136002,18.466245220178525
"Dandong, China",11.629814619106039,1.9236210222183527,10.48428488612217
"Delicias, Mexico",6.927899743073415,1.4618515604893818,17.27528826499671
"Denton, United States",10.326099492389549,1.8052245429428397,19.426347282905418
"Didao, China",17.86199577396065,2.0735856222484257,7.7744489770266165
"Dongli, China",4.328274077985987,1.1319652364918575,24.909547847149
"Dongtai, China",13.524606364775412,1.8969585100337363,15.743466524809724
"Dongying, China",13.056740478251216,1.7089779531229843,14.382271200405128
"Dos Hermanas, Spain",5.632239644927801,1.438449909363944,17.881063354601846
"Downey, United States",5.912923250152131,1.735878537432509,16.785032551067086
"Durango, Mexico",5.696212107926685,1.251593069471934,18.505734071963136
"East Los Angeles, United States",5.912923250152131,1.6891218131995522,16.894881718873854
"Ebetsu, Japan",11.661136785784697,1.5823015060650016,8.60575158065508
"Ecatepec, Mexico",2.494907614257499,0.9523357163859423,16.68727200771482
"El Monte, United States",5.912923250152131,1.607101063497771,17.106422151259395
"Encheng, China",5.494064711155066,1.322696664819308,23.07537805795796
"Ensenada, Mexico",2.871796145229467,1.1758733247386015,16.822802412005174
"Escondido, United States",2.922078632992142,1.2321711769455417,17.113460125065313
"Ezhou, China",12.904122798633686,1.4440786720820509,18.40349577319952
"Fairfield, United States",4.410762440703148,1.2491908700039929,15.46510027967609
"Fez, Morocco",4.599721267558276,1.43463821744336,17.647645856524576
"Fontana, United States",7.698759221550245,1.6568383734509262,17.944253984933166
"Fort Worth, United States",10.326099492389549,1.8429295462619282,19.346158459659037
"Foshan, China",6.97327117013625,1.254405836179872,22.34712739689004
"Fremont, United States",4.410762440703148,1.269384553812136,15.351750717507306
"Fresnillo, Mexico",3.4870103023634993,1.1930193577655461,16.393457761091984
"Fresno, United States",7.345217523093793,1.9856210035799537,16.592264866983978
"Fukuyama, Japan",11.594362122700067,1.1129660259620748,16.23191773370526
"Fullerton, United States",2.922078632992142,1.2790696462691595,16.985635105571934
"Fuyang, China",13.67311065933108,2.173282046844375,15.98226921018239
"Fuyu, China",21.55036058617151,2.010855246350006,8.67961690277538
"Fuzhou, China",10.357722978087972,1.5231419997652662,19.712896597555023
"Gómez Palacio, Mexico",5.048992628549013,1.7038250837481723,20.146991073146147
"Gaomi, China",14.372668341342616,1.382143965290761,14.201274995260272
"Gaozhou, China",5.494064711155066,1.199810428461062,23.244486298463734
"Garden Grove, United States",2.922078632992142,1.196194170107149,17.257905491943553
"Garland, United States",10.326099492389549,1.8780018790065658,19.228113559909186
"Gorontalo, Indonesia",0.43238228920350447,0.42116135385483094,26.575371151757004
"Granada, Spain",6.2123053225805585,1.498681073151553,17.235556422869806
"Grand Prairie, United States",10.326099492389549,1.8731341125120529,19.140900928279393
"Guangzhou, China",6.97327117013625,1.4891734720743408,21.737192393914416
"Guantánamo, Cuba",0.9788476807914981,0.6599288357041964,26.403756726460323
"Guilin, China",9.726930616225719,1.5397603418535237,19.04332081488016
"Guiyang, China",9.844140705995425,1.4171211584299594,16.14163636625212
"Ha Noi, Vietnam",5.77855024769076,1.3200592249584118,21.84625476634036
"Hachinohe, Japan",11.34707365401183,1.3654916990696055,10.89133505005811
"Hai Phong, Vietnam",5.77855024769076,1.4065855279253716,21.509552366881334
"Haifa, Israel",5.726454496808008,2.2069744165615073,17.80474976313395
"Hailar, China",25.00145226806251,3.303202050665088,11.67013270939125
"Hailun, China",22.39617378898069,2.287961113378972,8.461953957036053
"Hakodate, Japan",11.34707365401183,1.5941339901541685,10.412992320335054
"Hamilton, New Zealand",1.516575401778727,0.8785216418096348,15.695496395825748
"Handan, China",16.284355999500416,1.5326101663529983,15.251880524966616
"Hangzhou, China",11.859835863739269,1.54895005978689,16.88823751669564
"Hanoi, Vietnam",5.77855024769076,1.3552391654585958,21.585681404140438
"Harbin, China",21.55036058617151,2.334545157691138,8.662939876106154
"Hayward, United States",4.410762440703148,1.2411248019645675,15.451412973188829
"Hefei, China",13.047060926008337,1.4682679923376991,17.720649473314698
"Hegang, China",18.337112724706444,2.0425430799632904,7.207913021384629
"Heihe, Russia",21.736129059309054,2.4982066920528223,7.311015161699303
"Hengshan, China",17.86199577396065,2.047297603005271,7.756646045388755
"Heze, China",14.234643154213023,1.3998298690833022,16.985095453752116
"Himeji, Japan",11.594362122700067,1.240137040285115,15.892873188483044
"Hirosaki, Japan",11.34707365401183,1.580345772214027,10.474272495786886
"Hiroshima, Japan",11.078840619193423,1.119763103159411,16.67303037979143
"Hofu, Japan",11.078840619193423,1.6714086698832222,15.525806785136828
"Holguín, Cuba",1.060536800191437,0.536834428562336,27.06608905124373
"Hong Gai, Vietnam",5.77855024769076,1.4549488772075365,21.383251395440787
"Honggang, China",21.55036058617151,2.134298186070562,9.010040017346709
"Houston, United States",8.115241384317823,1.5838797415404415,21.321489176325436
"Huaibei, China",14.30892413338628,1.461583816705061,16.356227862635816
"Huaihua, China",12.730774250026137,1.554303424410105,17.10195055810669
"Huainan, China",13.665608671691862,1.460942736884271,17.016494966569457
"Huaiyin, China",13.524606364775412,1.752760645020437,16.02003500689779
"Huangpu, China",6.97327117013625,1.2762163946366911,22.338361091659813
"Huangyan, China",10.452567993908632,1.2371585318665286,18.200190653925237
"Huangzhou, China",12.904122798633686,1.5228783013278153,18.179455289035445
"Huelva, Spain",5.632239644927801,1.4709069685418314,17.8797444121123
"Huixquilucan, Mexico",2.494907614257499,0.9146273289829907,17.11793492966674
"Hulan, China",21.55036058617151,2.3559331825138354,8.32941877908102
"Hulan Ergi, China",22.851318763526972,2.2216688260291075,9.38110484713977
"Huntington Beach, United States",2.922078632992142,1.2676319046734377,17.042912138962
"Huzhou, China",12.474685607356642,1.3277683679352337,17.585747573237995
"Imabari, Japan",11.078840619193423,1.1244778239371755,16.876504717259742
"Inglewood, United States",5.912923250152131,1.8747084333354112,16.507223009846243
"Iquique, Chile",4.411279672617702,0.6792236978776309,18.004933678967014
"Iráklion, Greece",5.185568096658508,1.1177018576531859,20.064149962683008
"Irbid, Jordan",5.726454496808008,1.299497120271576,19.995723552470203
"Irkutsk, Russia",21.82327217911107,2.1712037263476627,10.90670212984448
"Irvine, United States",2.922078632992142,1.2431769799107644,17.095750355024087
"Irving, United States",10.326099492389549,1.8272914520172159,19.319766015860356
"Isparta, Turkey",9.6273147668464,1.6257549370526136,13.805092190486082
"Iwakuni, Japan",11.078840619193423,1.1592841441022759,16.326103535280282
"Ixtapaluca, Mexico",2.494907614257499,0.9316732510402376,16.728863835815158
"Izmir, Turkey",5.051320520967522,1.2321171828521298,19.344604021486603
"Jaén, Spain",6.2123053225805585,1.7097043291838339,16.774117771737295
